SPD UNION GRUENE FDP LINKE state ewb
0.390584467384817 0.363615413251709 0.0803457995284552 0.096891231511957 0.0479817527521553 Schleswig-Holstein West
0.362030764888513 0.416553767993226 0.0624753034151849 0.100691504374824 0.0386325148179509 Schleswig-Holstein West
0.363132368194235 0.38961038961039 0.0655851460125926 0.107380246300381 0.0459293237695937 Schleswig-Holstein West
0.376332289401004 0.381065066112171 0.0804508256845623 0.0989099305391666 0.0415999591782063 Schleswig-Holstein West
0.414633000429553 0.288236952319588 0.127490066580756 0.0885282431271478 0.0597280390893471 Schleswig-Holstein West
0.394848830829911 0.362613247134532 0.0766966681988701 0.0959727762043861 0.0445500511558251 Schleswig-Holstein West
0.374041304371543 0.368390045930112 0.0906056010735209 0.102529974580247 0.0438736212784063 Schleswig-Holstein West
0.365709690390028 0.367527141133896 0.0863691194209891 0.113480766653264 0.0437796542018496 Schleswig-Holstein West
0.387764783680628 0.377823939966792 0.0672282800112131 0.103807422209124 0.0416466004902137 Schleswig-Holstein West
0.357670876375074 0.371976434148133 0.0922197563584692 0.112006982474627 0.0436564324450902 Schleswig-Holstein West
0.433723888075233 0.311863100285208 0.0919448084483157 0.0837046172820473 0.0557773837971171 Schleswig-Holstein West
0.351787188940691 0.2808848487213 0.0419145712632243 0.0624882143716391 0.220470904941186 Mecklenburg-Vorpommern East
0.372509629182086 0.257261536137754 0.0460841326183823 0.0587644437731289 0.218850539989427 Mecklenburg-Vorpommern East
0.389061705065775 0.228352351188313 0.0543862199287739 0.0540446253361436 0.2388182280689 Mecklenburg-Vorpommern East
0.256720478736876 0.345760038206329 0.0318675513940245 0.074900323451305 0.240916951887523 Mecklenburg-Vorpommern East
0.248294765473295 0.356644631227699 0.0330741890935092 0.0666110523032058 0.237386872673485 Mecklenburg-Vorpommern East
0.31644176791503 0.305029913290989 0.0394605065492976 0.0623962259178241 0.230740848114277 Mecklenburg-Vorpommern East
0.287853257656379 0.293270367742698 0.0313128177840842 0.0583761972330614 0.271831027551141 Mecklenburg-Vorpommern East
0.42044698532977 0.238777443252935 0.156191152757575 0.0778390446872569 0.078746772211134 Hamburg West
0.352495982582551 0.283870346645734 0.188000325836623 0.090234528314462 0.0660115375785896 Hamburg West
0.373162029078806 0.274337919557312 0.17958867803064 0.0947903326325017 0.0614791428395324 Hamburg West
0.350888959417461 0.322241052020145 0.156551472217398 0.108321905708623 0.0476127741881396 Hamburg West
0.40351921062581 0.305591193916067 0.114780312749856 0.0903169024996436 0.0609075076080152 Hamburg West
